Unidade da Federação;Qnt_2008;Qnt_2009;Qnt_2010;Qnt_2011;Qnt_2012;Qnt_2013;Qnt_2014;Qnt_2015;Qnt_2016;Qnt_2017;Qnt_2018;Qnt_2019;Qnt_2020;Qnt_2021;Qnt_2022
11 Rondônia;4400;5532;5144;6449;7100;6270;9441;9943;11041;12093;13256;16900;12173;15463;15521
12 Acre;1934;2378;2085;2116;2000;1905;3191;2314;1645;1485;1582;1261;898;649;586
13 Amazonas;397;102;308;597;3979;36;593;760;1007;1006;328;550;725;703;627
14 Roraima;0;0;0;0;190;624;105;0;60;429;139;926;172;176;1768
15 Pará;707;1227;837;1226;1292;1599;1903;1340;1687;1526;2044;2704;3916;4471;5739
16 Amapá;183;57;235;107;128;415;597;754;918;927;954;1532;561;1122;387
17 Tocantins;668;756;818;439;978;1296;1281;1369;753;92;343;433;186;107;237
21 Maranhão;5622;2794;2957;2831;3051;2839;2200;2558;2740;2917;3244;3734;3709;5071;4917
22 Piauí;642;1744;2975;4803;10495;10917;7873;7437;8934;10804;13017;11090;5195;6001;7640
23 Ceará;5155;1671;3425;1831;3076;2399;2204;3139;2350;2125;2889;2939;2293;3306;3208
24 Rio Grande do Norte;0;0;0;1364;3268;1667;793;366;1327;901;1176;997;334;1064;1361
25 Paraíba;1285;1295;1516;1977;701;931;916;1310;698;281;407;253;566;221;483
26 Pernambuco;7136;9089;10257;11923;14540;15958;19656;20219;21298;22368;20630;21192;12380;17957;14141
27 Alagoas;2846;2925;2251;2813;3762;4173;6448;7038;7201;7489;9138;12436;9705;15727;16332
28 Sergipe;0;0;0;0;0;0;0;0;0;0;0;0;0;8;19
29 Bahia;16908;14456;14875;13234;13122;13057;11463;11307;12662;13733;16530;16465;12713;14377;14415
31 Minas Gerais;17847;17783;20463;22063;23071;23007;27409;24784;32859;30441;34197;42101;31432;39748;38296
32 Espírito Santo;1418;2280;2257;3231;3174;3853;2966;2435;1946;4104;6266;4708;3007;2827;2982
33 Rio de Janeiro;25308;14687;18239;21877;24049;24790;25629;23932;26455;25108;24548;25261;17676;19282;14122
35 São Paulo;16455;24904;31771;36889;37749;49451;57203;58957;63539;76969;85341;84357;65359;80181;71730
41 Paraná;12325;13636;14395;15228;15641;16728;19094;19810;20097;21619;22720;23694;17616;27954;23652
42 Santa Catarina;2147;3055;3314;3554;2436;3824;3864;4150;3575;3157;4004;4741;4416;6433;4864
43 Rio Grande do Sul;4474;8492;10549;11277;15656;17667;20026;22937;23852;27659;28255;32465;23919;29613;23625
50 Mato Grosso do Sul;767;707;1510;1145;728;4;2192;2880;3345;5251;8619;8668;9736;10303;11089
51 Mato Grosso;2582;2258;3301;2531;3132;1744;1878;1714;884;506;1034;2702;1694;1893;2972
52 Goiás;14243;17472;16450;19811;17949;17461;11605;12262;13212;13253;14139;11653;7988;11585;13186
53 Distrito Federal;18630;8720;9002;8383;7951;7001;9255;10944;10035;9779;11626;11048;10482;12967;13591
